Date,ID,Filter,Tweet,Retweets,Favorites,Mentions,Hashtags
4/29/2018 9:31,9.91E+17,ham,"Been over a year since I first bought $ XVG, and a few weeks away from 1yr anniversary of making my original # XVGWhale account. I have watched a 70,000% gain in 1 year time. Haters can't tell me nothing.... UNNH UNHH! LOLOLOL # VERGE http://HODL.EXPERT https://www.youtube.com/watch?v=E58qLXBfLrs …",12,44,,# #
4/29/2018 14:34,9.91E+17,ham,Biggest scammer in crypto?? Leave a comment if scammer you think is not in the list. $ bch $ bcc $ btc $ bch $ xvg $ btcp $ trx $ eth $ ltc $ neo,0,2,,
4/29/2018 10:05,9.91E+17,ham,Blocked for calling him out after he claimed he bought $ hot prior to it being listed today..... got to love paid twitter shills $ btc $ btcp $ trx $ xvg $ omg $ neo $ stormpic.twitter.com/Ub1jTHHjBI,0,5,,
4/29/2018 16:31,9.91E+17,ham,Boğa sezonu gelmeden 12-15 arası coinden oluşan bir sepet oluşturup aralık ayına kadar ekran kapatacağım. Uzun vadeli düşündüğünüz coinler var ise analiz için listeye ekleyebilirim. Sepet ortalama 20 gün içerisinde oluşacaktır. $ trx $ btc $ xrp $ ncash $ storm $ iost $ xlm $ xvg $ sngls,0,3,,
4/29/2018 15:32,9.91E+17,ham,"by take profits, do you mean convert profits to $ XVG?",0,0,,
4/29/2018 12:56,9.91E+17,ham,"ColossusXT Android wallet transaction speed test (sorry for video quality). From now, payments will always be fast & easy $ colx # colx # colossusxt # cryptocurrency # privacycoin $ btc $ ltc $ xvg $ eth # spreadthegrid # crypto # binance # bittrex # kucoin # blockfolio # huobi # coinbasepic.twitter.com/xG1MsaUCeb",19,63,,# # # # # # # # # # # #
4/29/2018 8:55,9.91E+17,ham,Come join the Verge Army group discussion....click the link below.....New @ telegram group for us Verge Army so we can share ideas and information to take $ XVG to the next level....Verge Army group for all of us Verge Army hodlers.... $ XVG HODL https://t.me/joinchat/Gjxd1xFlsG8weqvFh8krsQ …,1,2,@,
4/29/2018 14:51,9.91E+17,ham,Countdown to xvg/usd in 3....2....1.... $ xvg # Vergecurrency # hodlsquad Binance To Add “USD To Crypto” Trading Pairs Soonhttp://thebitplex.com/2018/03/23/binance-malta/ …,25,53,,# #
4/29/2018 13:37,9.91E+17,ham,Event organizers complete the circle https://medium.com/viberate-blog/event-organizers-complete-the-circle-5a546a54056c … @ Viberate_com $ vib # cryptocurrency # DigitalCash # DigitalCurrency # Bitcoin # ETHEREUM $ VIA $ ARDR $ dgb $ GNT $ vtc $ vox $ NEO $ XVG $ XRB $ XEL $ xem $ etc $ EOS $ PTOY # VIBERATE @ViberateOFC,1,1,@ @ViberateOFC,# # # # # #
4/29/2018 16:02,9.91E+17,ham,Good to see # xvg stabilizing around 7c/750 sats. Could see a drop to 550 sats by the metric of an 80% correction. Not much downside to buying at this price. Personally I take a dollar cost average approach to the # crypto I'm over the moon about. # Blockchain # XVG $ xvg pic.twitter.com/cD9F3unF9I,0,2,,# # # #
4/29/2018 15:11,9.91E+17,ham,Great interview by @ justinvendetta ... amazing # Crypto ambassador.... Because of him not only @ vergecurrency but all # cryptocurrency space will have huge gains.... @ XVGWhaleReal @ officialmcafee @ CryptoRekt @ xvgmarketingeu @ CryptoXVGGirl # XVG $ xvg # vergecurrency # vergehttps://twitter.com/mikey_bto/status/990268146492891136 …,27,63,@ @ @ @ @ @ @,# # # # #
4/29/2018 9:28,9.91E+17,ham,"HATERS HATE, BUT # MOON *IS* ON HORIZON! LOOK AT $ XVG # HISTORY! 1/5/2015: $0.000002 (24hr vol: $5.00) 4/30/2017 $0.000080 | 40x Gain from 2015 11/29/2017 $0.005729 | 35x gain from 4/30/17 3/30/2018 $0.034820 | 6x gain from 11/29 4/30/2018 $0.07| 100% 1mo gain, 69,920% 1 YEAR GAIN!pic.twitter.com/Cz4hFpImZK",26,69,,# #
4/29/2018 12:14,9.91E+17,ham,"Hello @ condomdepot Buying condoms should be private transactions. Would you consider @ vergecurrency as a form of payment? It's a secure, fast, and privacy-focused cryptocurrency designed for businesses. # XVG $ xvg # vergecurrency # adoptVerge # vergefampic.twitter.com/XWqFCAWzET",7,8,@ @,# # # #
4/29/2018 10:39,9.91E+17,ham,"Hello @ Snapchat Would you consider accepting verge currency as a form of payment for filters and Snapcash? @ vergecurrency is a secure, fast, and privacy-focused cryptocurrency designed for businesses. # XVG $ xvg # vergecurrency # adoptVerge # vergefampic.twitter.com/xSTii2w94e",55,87,@ @,# # # #
4/29/2018 14:17,9.91E+17,ham,Hey @ AmazonHelp @ amazon @ AmazonUK @ awscloud Would love to be able to pay for products with the most SECURE # cryptocurrency @ vergecurrency who've got a HUGE community behind it. Why not add $ XVG to that list of payment options available to us customers? pic.twitter.com/Q5mv53kVOZ,0,0,@ @ @ @ @,#
4/29/2018 12:19,9.91E+17,ham,"Hey @ VictoriasSecret Would you consider accepting @ vergecurrency as a form of payment? It's a secure, fast, and privacy-focused cryptocurrency designed for online retailers. All purchases can truly be a secret. # XVG $ xvg # vergecurrency # adoptVerge # vergefampic.twitter.com/B6DsRsShfx",7,11,@ @,# # # #
4/29/2018 14:13,9.91E+17,ham,Hey @ walmarthelp @ Walmart Would love to be able to pay for your products with @ vergecurrency . Why not add $ XVG to that list of payment options available to us customers and have it integrated to your payment support system? # XVG has a huge community behind it.pic.twitter.com/oK9dSwydpm,0,0,@ @ @,#
4/29/2018 16:23,9.91E+17,ham,"Hey guys! If you’re interested in seeing # crypto continue to move into # massadoption, go to # Spotify and vote for Verge! @ vergecurrency $ xvg https://twitter.com/spotifycares/status/990488721584742400 …",11,23,@,# # #
4/29/2018 11:06,9.91E+17,ham,how about $ xvg # vergefam and $ dgb # Digifam?pic.twitter.com/ZmgMue5cp9,0,3,,# #
4/29/2018 10:25,9.91E+17,ham,I bet the $ XVG community is responsible for that!,11,62,,
4/29/2018 9:20,9.91E+17,ham,"I couldn't agree more! Before I chose an alt (with the intention to # HODL ), I had lurked in the shadows of a few coins. No other coin comes close to what $ XVG brings to the table. The raw, passionate, human aspect (the good and the bad) will ultimately lift it to the top.",0,6,,#
4/29/2018 9:57,9.91E+17,ham,I don't know about you guys but I am excited to see what the future holds for $ XVG + $ TPAY. @ vergecurrency @ tokenpayhttps://twitter.com/CryptoRekt/status/990387471014739968 …,3,9,@ @,
4/29/2018 13:14,9.91E+17,ham,I lol'ed about the thought btw. A recent $ DASH w/o masternodes (and capable devs still working on it) would be something like $ XVG,0,4,,
4/29/2018 12:43,9.91E+17,ham,I love $ xvg haters. They make the right noise. Waiting for more partnerships. @ KraToZz94 @ vergecurrency @ CryptoRekt @ justinvendetta,123,222,@ @ @ @,
4/29/2018 11:09,9.91E+17,ham,"I made interesting spread sheet from 1B+Marketcap coins Calculating everything since starting new uptrend season, Good info!! $ BTC $ BTCUSD $ ADA $ AEB $ AST $ BNB $ CDT $ ENG $ EOS $ ETH $ FUN $ ICX $ IOST $ IOT $ LSK $ NANO $ NEBL $ NEO $ OMG $ POA $ QTUM $ STEEM $ TRX $ VEN $ XEM $ XLM $ XRP $ XVG $ ZECpic.twitter.com/0nzNNxR8ZZ",0,11,,
4/29/2018 16:23,9.91E+17,ham,I realy love to see # Spotify intergrate the @ vergecurrency as payment option! Can't wait $ XVG # XVG # VergeFam,0,1,@,# # #
4/29/2018 13:43,9.91E+17,ham,I thought @ cz_binance and @ binance came out and said this wasnt true. Now it is? # XVG $ XVG,0,3,@ @,#
4/29/2018 16:46,9.91E+17,ham,I wonder what majority of people compare their altcoins to .. bitcoin or fiat? I personally like to look at both.. but mainly btc $ btc $ ltc $ eth $ neo $ wan $ xvg $ xrp,0,1,,
4/29/2018 13:49,9.91E+17,ham,I wouldn't look for trends on a 5 min chart! We should be starting wave 3 now IF we don't retrace further. Could still retrace to the 700 sat range though. Hopefully we're on the way to 1000 sats. $ XVG # VERGEFAMpic.twitter.com/1Syl4VzE8X,1,7,,#
4/29/2018 9:51,9.91E+17,ham,"If # BankOfAmerica is going to close this 3 year olds' account over # crypto, they should close mine too. Almost all deposits made to my personal account in past 2-3 years, were from @ LocalBitcoins trades. AND I opened # CryptocurrencyMining LLC at BoA!! $ XVG https://www.coindesk.com/bank-america-closing-three-year-olds-account-crypto/ …",12,32,@,# # #
4/29/2018 12:03,9.91E+17,ham,"If the # USA starts accepting # crypto as legal tender for paying taxes,as # Japan already does), and # HODLs some, and uses massive computing facilities for # mining, they can maintain # hegemony and have a # symbiotic relationship with # cryptocurrency. http://HODL.Institute $ XVG",2,4,,# # # # # # # #
4/29/2018 16:05,9.91E+17,ham,Imagine the day @ coinbase @ binance @ bittrex has their own bank with branches where i can just walk in sell my $ btc $ bch $ ltc $ eth $ wan $ icx $ xvg $ trx $ iost $ ocn $ ont into cash. No need to answer to Chase or paypal why im withdrawing a huge stash.,9,35,@ @ @,
4/29/2018 11:13,9.91E+17,ham,"Interview: Global Blockchain COO Talks Hyperledger, Stellar Lumens and Kodak Coin $ btc $ bch $ xrp $ xlm $ xvg $ str $ eth $ lite $ doge $ bcn # hodl $ trx @ BabyPips $ fun $ ada $ gbtc https://www.ccn.com/interview-global-blockchain-coo-talks-hyperledger-stellar-lumens-and-kodak-coin/amp/ …",0,4,@,#
4/29/2018 9:18,9.91E+17,ham,Is $ XVG breaking the downtrend? pic.twitter.com/MUOCUBxp9p,22,63,,
4/29/2018 16:49,9.91E+17,ham,Is this real guys? https://ift.tt/2vShCXM $ XVG,0,0,,
4/29/2018 7:02,9.91E+17,ham,It makes sense for $ xvg to be going after app companies.,1,1,,
4/29/2018 11:11,9.91E+17,ham,Just added some more $ ocn at the 250 sat area ready for 2018! This coin will give a new meaning to the word FOMO $ ven $ btc $ eth $ gvt $ xvg $ trx $ ocn $ ont $ xrp $ neo $ ltc $ eos $ bch $ adapic.twitter.com/vEbNVkMGgn,9,18,,
4/29/2018 15:10,9.91E+17,ham,Just waiting for # trx to drop down to around 875 sats to get back in. $ trx $ xvg # hodlsquad,0,2,,# #
4/29/2018 13:40,9.91E+17,ham,"Learnt that the hard way! But lucky I had a second chance when the coin went up in price for the 3rd time and I made sure to sell. Learnt these lessons or $ XVG & $ ETN. I then used the profits for other gems like $ mwat, $ dbix, $ zoin & I have no regrets. I feel calmer nowadays :)",0,2,,
4/29/2018 7:24,9.91E+17,ham,let's go $ XVG ! # Verge expecting huge news upcoming week. # crypto # cryptocurrency # altcoin # shitcoins # bitcoin $ BTC,3,25,,# # # # # #
4/29/2018 7:52,9.91E+17,ham,Litecoin Payments are Quietly Starting to Catch On $ btc $ bch $ xrp $ xlm $ xvg $ str $ eth $ lite $ doge $ bcn # hodl $ trx @ BabyPips $ fun $ ada $ gbtc https://www.ccn.com/litecoin-payments-quietly-start-catching-on/amp/ …,0,0,@,#
4/29/2018 9:56,9.91E+17,ham,Long/Short Bitcoin volatility with up to 100x Leverage at BitMEX! 10% Fee Discount below! http://bitmex.com/register/m9MNxm $ ZEC $ QTUM $ BTC $ WTC $ KMD $ GXS $ BTS $ ETHOS $ PART $ LTC $ ZRX $ STRAT $ ETC $ XVG $ ICN $ DENT $ XRB $ NEO $ MED $ STEEMpic.twitter.com/htOHPGoEaP,0,3,,
4/29/2018 13:14,9.91E+17,ham,Looks like $ XVG downtrend is broken! pic.twitter.com/jVmDIn2QNp,29,83,,
4/29/2018 13:10,9.91E+17,ham,Moon showing on the 15minute chart of $ OCN # readupsidedown @ OdysseyOCN @ yishi888 $ TRX $ XVG $ XRP $ NEO $ ETH $ BTC $ EOS $ BCH $ LTCpic.twitter.com/0lQM1BIFX2,8,25,@ @,#
4/29/2018 12:38,9.91E+17,ham,"Much of the criticisms of # capitalism can be solved by # crypto, as the ""evils of capitalism"" are rooted in the unfair central banking system, fiat bank inneffiecies, and debt generating fractional reserve system. $ XVG can increase efficiency of economy, improving quality of life.",4,6,,# #
4/29/2018 16:29,9.91E+17,ham,"Nobody Knows, Nobody Care. Welcome to The Fork Ad Nauseum about ""Privacy"" coins in 2018 aka The ICO type Money Grab of 2017 $ ZCL $ BTCP Bitcoin Classic Private Anonymous instead get $ ZEC $ XMR $ XVG $ LTC $ VTC $ BURSTpic.twitter.com/eZqaoZqdnj",0,2,,
4/29/2018 12:30,9.91E+17,ham,Now Korea can have a taste of the power that be @ OdysseyOCN $ OCN!!! On its way to being a super representative of @ Tronfoundation and a powerhouse in its own right! $ btc $ eth $ neo $ ven $ wan $ icx $ ont $ eos $ trx $ xvg # bitcoin # crypto # Blockchainhttps://twitter.com/yishi888/status/990670876440842240 …,1,12,@ @,# # #
4/29/2018 7:32,9.91E+17,ham,"One of the most significant aspects of Cartel Chain is the incentive for rapid mass adoption, inherent in its architecture. Buyers pay nothing to save. Suppliers pay nothing to profit. Slam dunk. $ CRTL $ ETH $ BTC $ XVG $ EOS # ico # blockchain # erc20",2,14,,# # #
4/29/2018 16:25,9.91E+17,ham,Preach! # bitcoin # cryptocurreny $ TRX $ BTC $ XVG pic.twitter.com/jPxNQvNLt1,1,7,,# #
4/29/2018 11:12,9.91E+17,ham,Proper cup and handle forming $ trx 1 week chartCan't unsee that Major resistance around 2000 satsSo long non # HODLers We've got a # tronathon to plan @ CryptoCriedWolf DJ & chart Meistro! Educate yourselves >> https://www.investopedia.com/terms/c/cupandhandle.asp … $ icx $ ocn $ man $ xvg $ adapic.twitter.com/S2oJenGPhn,28,72,@,# #
4/29/2018 7:52,9.91E+17,ham,So @ vechainofficial is really facing @ ethereum in this article below: https://medium.com/@vechainofficial/introducing-the-vechainthor-blockchain-transaction-model-b9944a0b6703 … Who you like better? $ ETH $ VET $ VEN $ TRX $ XRP $ NEO $ LTC $ OCN $ XVG,27,57,@ @ @vechainofficial,
4/29/2018 7:31,9.91E+17,ham,"So the top 50 # Altcoins are having a run 1 by 1, so far we had $ EOS $ ICX $ ADA $ XLM $ WAN $ BCH $ XVG $ TRX, right now $ NEO. what do you think is going to be next:",0,1,,#
4/29/2018 12:49,9.91E+17,ham,"Take a look at the team, you'll see that this is no joke. $ btca $ btcp $ zcl $ xmr $ xvg",0,2,,
4/29/2018 9:19,9.91E+17,ham,"Thank you @ ercwl for your insights and thoughts, really appreciated. $ xvg https://twitter.com/ercwl/status/990609330377457665 …",3,11,@,
4/29/2018 15:53,9.91E+17,ham,That's crypto for ya. I bought $ xvg on December 12th 2017 and I have every intention to hodl until December 2018. That is the definition of # hodlsquad son.,1,2,,#
4/29/2018 7:05,9.91E+17,ham,The # vergefam # hodlsquad showed up!!!!! $ xvg,1,4,,# #
4/29/2018 10:31,9.91E+17,ham,"This explains why we need # denctralization to prevent double spending, and other idiotic consequences of # fractionalreserve # centralbanking! It's why # crypto wins, it's THE PATH OF LEAST RESISTANCE. $ XVG = Mathematically superior than centralized # banking!https://www.youtube.com/watch?v=JobaR9LLcfA …",5,9,,# # # # #
4/29/2018 16:26,9.91E+17,ham,This is how active the $ LUX team is! I spy atomic swap The moon isn't far away # crypto # cryptocurrency # Bitcoin $ ETH $ NEO $ OMG $ ADA $ OCN $ DASH $ XMR $ XVG $ XRPpic.twitter.com/zkG8jLLHSU,1,4,,# # #
4/29/2018 8:41,9.91E+17,ham,This isnt the REAL VERGE ACCOUNT!!! please stop sending eth or believe this scam. # XVG $ xvg # vergecurrencypic.twitter.com/BvMXjaZKGh,0,5,,# #
4/29/2018 13:12,9.91E+17,ham,This was the price of @ vergecurrency 30 April 2017 There is so much happening with # verge this year it is insane Do Not Miss out on such an amazing opportunity that could change your life $ Xvg # Xvg # Vergefampic.twitter.com/UrGPwhJj9z,94,201,@,# # #
4/29/2018 13:54,9.91E+17,ham,This would be awesome and it is only speculation. The many PAYPAL users around the globe would definitely benefit from this partnership. $ VERGE $ XVG https://twitter.com/Webblast78/status/990300306180329473 …,7,17,,
4/29/2018 11:32,9.91E+17,ham,"Thought I’d share again this article I wrote, for my new followers. Enjoy, and please RT to help newbies We are all in this together! # CryptoFam # Crypto # Cryptocurrency # Cryptocurrencies # Blockchain # Bitcoin $ BTC $ ETH $ NEO $ VEN $ ICX $ TRX $ XVG $ LTC $ EOS $ ADA $ Cryptopic.twitter.com/jqWBmAyHRs",4,9,,# # # # # #
4/29/2018 7:26,9.91E+17,ham,Together we are one! # VergeFam # XVG $ XVG # Cryptohttps://twitter.com/PhanTi_91/status/990489257822343168 …,4,19,,# # #
4/29/2018 16:33,9.91E+17,ham,Tokenpay & Verge debit cards coming soon? $ xvg @ vergecurrency @ xvgmarketingeu @ CryptoRekt @ justinvendetta @ Secret_0taKu @ PhanTi_91 @ Verge_Girl @ tokenpaypic.twitter.com/puvWYGhWp6,63,122,@ @ @ @ @ @ @ @,
4/29/2018 11:00,9.91E+17,ham,Top 10 Mentions on Twitter in the last hour - $ TRX $ BTC $ ETH $ XRP $ XVG $ NEO $ LTC $ EOS $ BCH $ ADApic.twitter.com/akIvg6zxPI,2,4,,
4/29/2018 11:55,9.91E+17,ham,Verge # XVG $ XVG # VergeFam # VergeArmyhttps://twitter.com/cryptomanran/status/990419302753779714 …,3,8,,# # #
4/29/2018 8:24,9.91E+17,ham,Verge $ XVG to Coinbase soon???? Don't want to start rumours but proofs are all over their github. pic.twitter.com/loObtO7233,4,31,,
4/29/2018 13:41,9.91E+17,ham,Verge (XVG): Coming Soon To A Bank Near You # xvg $ xvg # verge # VergeCoin # vergecurrency # vergefam # VergeArmy https://stocksgazette.com/2018/04/29/verge-xvg-coming-soon-to-a-bank-near-you/amp/# …pic.twitter.com/jcZOZrG1Bm,27,48,,# # # # # # #
4/29/2018 8:41,9.91E+17,ham,Warning on # verge $ xvg @ Hydeez411 was a firm supporter (even in the face of uncertainty) and they went Gustapo on her Censorship of inquiries into an organization does not equate to good practices Imagine if you called your bank with a question and they blocked your calls https://twitter.com/hydeez411/status/990562237378191363 …,1,4,@,#
4/29/2018 11:20,9.91E+17,ham,We only have 1800 votes # VergeFam . We need to show up stronger than this. $ xvg # verge # hodlsquadhttps://community.spotify.com/t5/Live-Ideas/All-Platforms-Partnership-Payments-with-Verge-XVG-Cryptocurrency/idi-p/4462772 …,1,4,,# # #
4/29/2018 13:37,9.91E+17,ham,What can happen in 774 hours? https://medium.com/viberate-blog/what-can-happen-in-774-hours-3b798046f76b … @ Viberate_com $ vib # cryptocurrency # DigitalCash # DigitalCurrency # Bitcoin # ETHEREUM $ VIA $ ARDR $ dgb $ GNT $ vtc $ vox $ NEO $ XVG $ XRB $ XEL $ xem $ etc $ EOS $ PTOY # VIBERATE @ViberateOFC,0,4,@ @ViberateOFC,# # # # # #
